name,P,link,per
创世纪,400,/suolvetu/Genesis_Starliner.jpg,SSR.png
回收者,400,/suolvetu/Reclaimer.jpg,SSR.png
600i旅游,435,/suolvetu/600it.jpg,SSR.png
货D,450,/suolvetu/Hull_D.jpg,SSR.png
600i探索,475,/suolvetu/600ie.png,SSR.png
M2大力神,520,/suolvetu/M2.jpg,SSR.png
解放者,575,/suolvetu/liberator.png,SSR.png
猎户座,575,/suolvetu/Orion.jpg,SSR.png
克拉克,600,/suolvetu/Carrack.png,SSR.png
巴努商船,650,/suolvetu/Merchantman.png,SSR.png
英仙座,675,/suolvetu/Perseus.jpg,SSR.png
奥德赛,700,/suolvetu/Odyssey.jpg,SSR.png
锤头鲨,725,/suolvetu/Hammerhead.png,SSR.png
鹦鹉螺,725,/suolvetu/Nautilus.png,SSR.png
A2大力神,750,/suolvetu/A2.jpg,SSR.png
北极星,750,/suolvetu/polaris.jpg,SSR.png
F7AMK1,???,/suolvetu/F7A_Hornet_Mk.I.png,UR.png
F7AMK2,???,/suolvetu/F7A_MkII.jpg,SSR.png
飞马座,???,/suolvetu/Pegasus.jpg,UR.png
渡鸦,200,/suolvetu/Sabre_Raven.png,UR.png
货E,750,/suolvetu/HullE.jpg,UR.png
开拓者,850,/suolvetu/Pioneer.jpg,UR.png
890悦动,950,/suolvetu/890.png,UR.png
伊德里斯M,1000,/suolvetu/Idris_M.jpg,UR.png
伊德里斯P,1500,/suolvetu/Idris-P.jpg,UR.png
海妖,1650,/suolvetu/Kraken.jpg,UR.png
伊德里斯K,1800,/suolvetu/Idris_K.jpg,UR.png
海妖私掠,2000,/suolvetu/Privateer.jpg,UR.png
标枪,3000,/suolvetu/Javelin.jpg,UR.png
F8A,???,/suolvetu/F8.png,UR.png
F8C,300,/suolvetu/F8-C.png,SSR.png
T8A,???,/suolvetu/T8A_Gladiator.jpg,UR.png
王船,???,/suolvetu/Kingship.png,UR.png
惩戒,???,/suolvetu/Retribution.jpg,UR.png
风暴AA,100,/suolvetu/Storm_AA.jpg,R.png
速伦,70,/suolvetu/Syulen.png,R.png
小刀侦察,50,/suolvetu/Cutter_Scout.jpg,R.png
宙斯CL,150,/suolvetu/ZeusMkII_CL.png,SR.png
宙斯ES,150,/suolvetu/Zeus_MkII_ES.jpg,SR.png
宙斯MR,190,/suolvetu/ZeusMkII_MR.png,SR.png
阿拉斯塔,575,/suolvetu/Arrastra.png,SSR.png
小刀漫步者,50,/suolvetu/Cutter_Rambler.png,R.png
F7CMK2,175,/suolvetu/F7C_mkII.png,SR.png
大熊座医疗,60,/suolvetu/Ursa_Medivac.jpg,R.png
脉冲,30,/suolvetu/Pulse.png,R.png
脉冲LX,30,/suolvetu/Pulse_LX.png,R.png
MPUV牵引,40,/suolvetu/MPUV-1T.png,R.png
军刀火鸟,185,/suolvetu/Sabre_Firebird.jpg,SR.png
铁甲,450,/suolvetu/Ironclad.jpg,SSR.png
铁甲突袭,535,/suolvetu/Ironclad_Assault.jpg,SSR.png
军刀游隼,185,/suolvetu/Sabre_Peregrine.jpg,SR.png
ATLS,40,/suolvetu/ATLS.jpg,R.png
